Tribunal;Magistrado;Mês/Ano Ref.;Subsídio;Direitos Pessoais ;Indenizações ;Direitos Eventuais ;Total de Rendimentos ;Previdência Pública ;Imposto de Renda;Descontos Diversos ;Retenção por Teto Constitucional ;Total de Descontos ;Rendimento Líquido ;Remuneração do órgão de origem ;Diárias 
TRF1;JOAO CARLOS MAYER SOARES;09/2020;33.689,11;0,00;910,08;28.566,65;63.165,84;-5.834,88;-6.258,75;-15.165,53;-7.989,50;-35.248,66;27.917,18;0,00;0,00
TRF1;JOAO CESAR OTONI DE MATOS;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-713,08;-8.938,93;-3.469,91;-5.625,49;-18.747,41;27.081,48;0,00;0,00
TRF1;JOAO LUIZ DE SOUSA;09/2020;35.462,22;5.834,88;910,08;11.820,74;54.027,92;-5.834,88;-9.936,30;-4.408,11;-7.989,64;-28.168,93;25.858,99;0,00;0,00
TRF1;JOAO MIGUEL COELHO DOS ANJOS;09/2020;32.004,65;0,00;910,08;0,00;32.914,73;-5.177,94;-6.403,71;-40,01;0,00;-11.621,66;21.293,07;0,00;0,00
TRF1;JOAO MOREIRA PESSOA DE AZAMBUJA;09/2020;32.004,65;0,00;1.125,08;7.823,20;40.952,93;-713,08;-9.740,20;-275,05;-534,53;-11.262,86;29.690,07;0,00;0,00
TRF1;JOAO PAULO MASSAMI LAMEU ABE;09/2020;32.004,65;0,00;2.349,32;13.288,38;47.642,35;-713,08;-9.030,44;-3.495,11;-5.999,71;-19.238,34;28.404,01;0,00;0,00
TRF1;JOAO PAULO MORRETTI DE SOUZA;09/2020;32.004,65;0,00;910,08;6.400,80;39.315,53;-6.394,09;-7.933,76;-578,00;0,00;-14.905,85;24.409,68;0,00;0,00
TRF1;JOAO PAULO PIROPO DE ABREU;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-713,08;-8.860,06;-13.896,29;-5.625,49;-29.094,92;16.733,97;0,00;0,00
TRF1;JOAO PEDRO AYRIMORAES SOARES JUNIOR;09/2020;32.004,65;0,00;910,08;0,00;32.914,73;-5.177,94;-6.507,99;-985,21;0,00;-12.671,14;20.243,59;0,00;0,00
TRF1;JOAO VIEIRA FAGUNDES;09/2020;35.462,22;0,00;0,00;0,00;35.462,22;-5.121,81;-6.898,52;-1.545,48;0,00;-13.565,81;21.896,41;0,00;0,00
TRF1;JORGE ALBERTO ARAUJO DE ARAUJO;09/2020;33.689,11;0,00;910,08;11.604,03;46.203,22;-713,08;-9.740,21;-972,07;-5.999,82;-17.425,18;28.778,04;0,00;0,00
TRF1;JORGE FERRAZ DE OLIVEIRA JUNIOR;09/2020;33.689,11;0,00;1.629,70;26.202,64;61.521,45;-5.497,99;-8.424,36;-1.789,34;-5.625,49;-21.337,18;40.184,27;0,00;0,00
TRF1;JORGE GUSTAVO SERRA DE MACEDO COSTA;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.424,36;-1.518,96;-5.625,49;-21.066,80;24.762,09;0,00;0,00
TRF1;JORGE SOUZA PEIXOTO;09/2020;32.004,65;0,00;910,08;10.892,81;43.807,54;-713,08;-9.129,46;-3.294,52;-3.604,14;-16.741,20;27.066,34;0,00;0,00
TRF1;JOSE AIRTON DE AGUIAR PORTELA;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.424,36;-1.738,64;-5.625,49;-21.286,48;24.542,41;0,00;0,00
TRF1;JOSE ALEXANDRE ESSADO;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-7.487,96;-9.356,50;-5.625,49;-27.967,94;17.860,95;0,00;0,00
TRF1;JOSE ALEXANDRE FRANCO;09/2020;33.689,11;0,00;910,08;13.593,85;48.193,04;-5.834,88;-8.279,57;-1.560,99;-7.989,64;-23.665,08;24.527,96;0,00;0,00
TRF1;JOSE ALVES DE LIMA;09/2020;35.462,22;0,00;0,00;0,00;35.462,22;-5.121,81;-6.950,66;-831,24;0,00;-12.903,71;22.558,51;0,00;0,00
TRF1;JOSE AMILCAR MACHADO;09/2020;35.462,22;5.834,88;910,08;11.820,74;54.027,92;-5.834,88;-9.884,16;-1.598,47;-7.989,64;-25.307,15;28.720,77;0,00;0,00
TRF1;JOSE CARLOS DO VALE MADEIRA;09/2020;0,00;0,00;0,00;0,00;0,00;-4.784,92;-7.027,16;-1.610,87;0,00;-13.422,95;-13.422,95;0,00;0,00
TRF1;JOSE CARLOS MACHADO JUNIOR;09/2020;33.689,11;0,00;910,08;6.363,50;40.962,69;-5.497,99;-8.320,08;-9.423,46;-759,29;-24.000,82;16.961,87;0,00;0,00
TRF1;JOSE GERALDO AMARAL FONSECA JUNIOR;09/2020;33.689,11;0,00;3.008,57;3.368,91;40.066,59;-5.497,99;-7.809,65;-1.446,62;0,00;-14.754,26;25.312,33;0,00;0,00
TRF1;JOSE GODINHO FILHO;09/2020;33.689,11;0,00;910,08;11.229,60;45.828,79;-5.497,99;-8.320,07;-1.204,04;-5.625,39;-20.647,49;25.181,30;0,00;0,00
TRF1;JOSE GUTEMBERG DE BARROS FILHO;09/2020;33.689,11;0,00;1.629,70;11.229,70;46.548,51;-713,10;-6.665,36;-12.456,28;-5.625,49;-25.460,23;21.088,28;0,00;0,00
TRF1;JOSE HENRIQUE GUARACY REBELO;09/2020;33.689,11;0,00;0,00;0,00;33.689,11;-4.784,92;-6.975,02;-1.638,98;0,00;-13.398,92;20.290,19;0,00;0,00
TRF1;JOSE HUMBERTO FERREIRA;09/2020;33.689,11;5.497,99;910,08;8.235,11;48.332,29;-5.497,99;-9.936,31;-6.562,26;-2.630,90;-24.627,46;23.704,83;0,00;0,00
TRF1;JOSE MAGNO LINHARES MORAES;09/2020;33.689,11;0,00;910,08;11.604,03;46.203,22;-5.497,99;-8.267,95;-10.394,33;-5.999,82;-30.160,09;16.043,13;0,00;0,00
TRF1;JOSE MARCIO DA SILVEIRA E SILVA;09/2020;33.689,11;0,00;910,08;101.441,55;136.040,74;-713,08;-8.938,93;-2.788,48;-5.999,71;-18.440,20;117.600,54;0,00;0,00
TRF1;JOSE MAURICIO LOURENCO;09/2020;32.004,65;0,00;910,08;9.957,01;42.871,74;-5.177,94;-8.460,23;-1.504,36;-2.668,34;-17.810,87;25.060,87;0,00;0,00
TRF1;JOSE MAURO BARBOSA;09/2020;33.689,11;0,00;910,08;0,00;34.599,19;-5.497,99;-6.883,20;-2.004,75;0,00;-14.385,94;20.213,25;0,00;0,00
TRF1;JOSE PIRES DA CUNHA;09/2020;18.689,70;0,00;0,00;0,00;18.689,70;-1.990,19;-3.199,41;-1.653,16;0,00;-6.842,76;11.846,94;0,00;0,00
TRF1;JOSE VALTERSON DE LIMA;09/2020;33.689,11;0,00;910,08;11.604,03;46.203,22;-5.497,99;-8.320,08;-443,50;-5.999,82;-20.261,39;25.941,83;0,00;0,00
TRF1;JOZELY MACIEL FERREIRA;09/2020;16.844,56;0,00;0,00;0,00;16.844,56;-1.685,74;-2.775,72;-583,00;0,00;-5.044,46;11.800,10;0,00;0,00
TRF1;JUCELIO FLEURY NETO;09/2020;33.689,11;0,00;1.629,70;10.855,38;46.174,19;-713,08;-9.043,20;-3.510,70;-5.251,17;-18.518,15;27.656,04;0,00;0,00
TRF1;JULIANA MARIA DA PAIXAO ARAUJO;09/2020;33.689,11;0,00;1.629,70;11.604,03;46.922,84;-5.497,99;-8.372,22;-994,05;-5.999,82;-20.864,08;26.058,76;0,00;0,00
TRF1;JULIANO TAVEIRA BERNARDES;09/2020;33.689,11;0,00;910,08;10.855,28;45.454,47;-713,08;-8.064,60;-6.719,20;-5.251,07;-20.747,95;24.706,52;0,00;0,00
TRF1;KAREN REGINA OKUBARA;09/2020;32.004,65;0,00;910,08;7.486,47;40.401,20;-713,08;-9.134,70;-2.661,56;-197,80;-12.707,14;27.694,06;0,00;0,00
TRF1;KARIN ALMEIDA WEH DE MEDEIROS;09/2020;33.689,11;0,00;1.770,08;11.229,70;46.688,89;-5.497,99;-6.847,99;-5.628,10;-5.625,49;-23.599,57;23.089,32;0,00;0,00
TRF1;KARINE COSTA CARLOS RHEM DA SILVA;09/2020;33.689,11;0,00;910,08;10.106,73;44.705,92;-5.497,99;-8.372,22;-7.355,69;-4.502,52;-25.728,42;18.977,50;0,00;0,00
TRF1;KARLEY CORREA DA SILVA;09/2020;32.004,65;0,00;910,08;9.957,01;42.871,74;-713,08;-9.740,20;-2.922,14;-2.668,34;-16.043,76;26.827,98;0,00;0,00
TRF1;KASSIO MARQUES;09/2020;35.462,22;0,00;910,08;11.820,74;48.193,04;-5.834,88;-8.227,43;-2.914,41;-7.989,64;-24.966,36;23.226,68;0,00;0,00
TRF1;KATIA BALBINO DE CARVALHO FERREIRA;09/2020;33.689,11;11.232,87;910,08;11.229,60;57.061,66;-6.413,64;-9.936,30;-1.490,01;-10.444,62;-28.284,57;28.777,09;0,00;0,00
TRF1;KLAUS KUSCHEL;09/2020;33.689,11;0,00;910,08;0,00;34.599,19;-713,08;-6.872,81;-5.428,51;0,00;-13.014,40;21.584,79;0,00;0,00
TRF1;LAIS DURVAL LEITE;09/2020;32.004,65;0,00;910,08;13.288,49;46.203,22;-713,08;-8.964,34;-3.526,84;-5.999,82;-19.204,08;26.999,14;0,00;0,00
TRF1;LANA LIGIA GALATI;09/2020;33.689,11;3.434,43;0,00;0,00;37.123,54;-5.437,46;0,00;-5.491,40;0,00;-10.928,86;26.194,68;0,00;0,00
TRF1;LAURA LIMA MIRANDA E SILVA;09/2020;32.004,65;0,00;1.629,70;12.352,46;45.986,81;-713,08;-9.134,70;-2.476,85;-5.063,79;-17.388,42;28.598,39;0,00;0,00
TRF1;LEANDRO SAON DA CONCEICAO BIANCO;09/2020;33.689,11;0,00;1.629,70;9.495,99;44.814,80;-713,08;-7.802,88;-8.643,51;-3.655,37;-20.814,84;23.999,96;0,00;0,00
TRF1;LEAO APARECIDO ALVES;09/2020;33.689,11;0,00;910,08;11.229,60;45.828,79;-5.497,99;-8.372,21;-2.362,43;-5.625,39;-21.858,02;23.970,77;0,00;0,00
TRF1;LELIS GONCALVES SOUZA;09/2020;33.689,11;5.497,99;910,08;11.229,70;51.326,88;-5.497,99;-9.832,03;-11.248,96;-5.625,49;-32.204,47;19.122,41;0,00;0,00
TRF1;LEONARDO ARAUJO DE MIRANDA FERNANDES;09/2020;32.004,65;0,00;1.629,70;11.416,86;45.051,21;-713,08;-9.044,76;-4.996,14;-4.128,19;-18.882,17;26.169,04;0,00;0,00
TRF1;LEONARDO AUGUSTO DE ALMEIDA AGUIAR;09/2020;33.689,11;0,00;1.555,08;11.229,70;46.473,89;-6.562,79;-8.027,26;0,00;-5.625,49;-20.215,54;26.258,35;0,00;0,00
TRF1;LEONARDO BUISSA FREITAS;09/2020;33.689,11;0,00;910,08;10.855,28;45.454,47;-5.497,99;-8.372,21;-1.545,92;-5.251,07;-20.667,19;24.787,28;0,00;0,00
TRF1;LEONARDO HERNANDEZ SANTOS SOARES;09/2020;33.689,11;0,00;910,08;22.085,08;56.684,27;-713,08;-11.183,15;-3.814,84;-5.251,17;-20.962,24;35.722,03;0,00;0,00
TRF1;LEONARDO TAVARES SARAIVA;09/2020;32.004,65;0,00;1.340,08;10.780,52;44.125,25;-713,10;-9.740,20;-196,46;-3.491,85;-14.141,61;29.983,64;0,00;0,00
TRF1;LEONARDO TOCCHETTO PAUPERIO;09/2020;33.689,11;0,00;910,08;10.480,96;45.080,15;-5.497,99;-8.372,21;-9.441,24;-4.876,75;-28.188,19;16.891,96;0,00;0,00
TRF1;LEONDER MAGALHAES DA SILVA;09/2020;32.004,65;0,00;1.125,08;21.336,44;54.466,17;-713,08;-11.804,60;-2.835,78;-3.379,55;-18.733,01;35.733,16;0,00;0,00
TRF1;LETICIA DANIELE BOSSONARIO;09/2020;32.004,65;0,00;910,08;10.668,22;43.582,95;-5.177,94;-8.512,37;-777,16;-3.379,55;-17.847,02;25.735,93;0,00;0,00
TRF1;LILIA BOTELHO NEIVA BRITO;09/2020;33.689,11;0,00;910,08;11.229,60;45.828,79;-5.497,99;-8.372,22;-1.638,82;-5.625,39;-21.134,42;24.694,37;0,00;0,00
TRF1;LILIAN OLIVEIRA DA COSTA TOURINHO;09/2020;33.689,11;0,00;910,08;22.459,40;57.058,59;-5.497,99;-10.643,17;-168,44;-5.625,49;-21.935,09;35.123,50;0,00;0,00
TRF1;LINCOLN PINHEIRO COSTA;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.320,08;-2.769,37;-5.625,49;-22.212,93;23.615,96;0,00;0,00
TRF1;LINCOLN RODRIGUES DE FARIA;09/2020;33.689,11;0,00;910,08;37.259,16;71.858,35;-5.497,99;-10.538,89;-6.599,52;-5.625,49;-28.261,89;43.596,46;0,00;0,00
TRF1;LINCOLN ROSSI DA SILVA VIGUINI;09/2020;32.004,65;0,00;910,08;6.887,56;39.802,29;-713,08;-8.819,14;-4.438,82;0,00;-13.971,04;25.831,25;0,00;0,00
TRF1;LINDOVAL MARQUES DE BRITO;09/2020;33.689,11;0,00;0,00;0,00;33.689,11;-4.784,92;0,00;-1.648,77;0,00;-6.433,69;27.255,42;0,00;0,00
TRF1;LINO OSVALDO SERRA SOUSA SEGUNDO;09/2020;33.689,11;0,00;910,08;10.855,38;45.454,57;-5.497,99;-8.372,22;-1.672,39;-5.251,17;-20.793,77;24.660,80;0,00;0,00
TRF1;LISYA HELENA CAVALCANTE DOS SANTOS;09/2020;32.004,65;0,00;910,08;12.914,16;45.828,89;-713,08;-9.095,34;-3.090,49;-5.625,49;-18.524,40;27.304,49;0,00;0,00
TRF1;LIVIA CRISTINA MARQUES PERES;09/2020;33.689,11;0,00;1.340,08;0,00;35.029,19;-5.497,99;-6.831,06;-404,27;0,00;-12.733,32;22.295,87;0,00;0,00
TRF1;LIVIANE KELLY SOARES VASCONCELOS;09/2020;32.004,65;0,00;910,08;8.890,25;41.804,98;-713,10;-9.128,58;-2.723,08;-1.601,58;-14.166,34;27.638,64;0,00;0,00
TRF1;LORENA DE SOUSA COSTA;09/2020;32.004,65;0,00;2.489,70;10.668,22;45.162,57;-713,08;-9.635,94;-2.365,84;-3.379,55;-16.094,41;29.068,16;0,00;0,00
TRF1;LUCAS ROSENDO MAXIMO DE ARAUJO;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.267,95;-1.679,21;-5.625,49;-21.070,64;24.758,25;0,00;0,00
TRF1;LUCIA MARINA DE ARAUJO SANTOS;09/2020;28.431,25;0,00;0,00;0,00;28.431,25;-3.785,93;-5.908,10;-992,80;0,00;-10.686,83;17.744,42;0,00;0,00
TRF1;LUCIANA LAURENTI GHELLER;09/2020;32.004,65;0,00;910,08;12.352,46;45.267,19;-5.497,99;-8.320,07;-1.841,37;-5.063,79;-20.723,22;24.543,97;0,00;0,00
TRF1;LUCIANA PINHEIRO COSTA;09/2020;33.689,11;0,00;910,08;13.593,85;48.193,04;-5.834,88;-8.331,71;-8.335,01;-7.989,64;-30.491,24;17.701,80;0,00;0,00
TRF1;LUCIANA RAQUEL TOLENTINO DE MOURA;09/2020;32.004,65;0,00;910,08;19.689,38;52.604,11;-5.412,64;-7.946,34;-4.637,45;0,00;-17.996,43;34.607,68;0,00;0,00
TRF1;LUCIANO MENDONCA FONTOURA;09/2020;33.689,11;0,00;910,08;17.967,52;52.566,71;-5.497,99;-10.330,35;-1.114,22;-1.133,61;-18.076,17;34.490,54;0,00;0,00
TRF1;LUCIANO TOLENTINO AMARAL;09/2020;35.462,22;5.183,13;0,00;0,00;40.645,35;-5.849,72;-7.804,04;-1.785,98;-1.352,03;-16.791,77;23.853,58;0,00;0,00
TRF1;LUCILIO LINHARES PERDIGAO DE MORAIS;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-713,08;-9.247,07;-2.247,02;-5.625,49;-17.832,66;27.996,23;0,00;0,00
TRF1;LUCYANA SAID DAIBES PEREIRA;09/2020;33.689,11;0,00;910,08;10.481,06;45.080,25;-5.497,99;-8.424,36;-1.278,27;-4.876,85;-20.077,47;25.002,78;0,00;0,00
TRF1;LUIS CLAUDIO DE SOUZA FONTES;09/2020;33.689,11;0,00;910,08;1.497,29;36.096,48;-5.497,99;-7.294,95;-1.485,76;0,00;-14.278,70;21.817,78;0,00;0,00
TRF1;LUIS FELIPE PIMENTEL DA COSTA;09/2020;32.004,65;0,00;910,08;20.849,81;53.764,54;-713,08;-11.193,86;-4.238,85;-2.892,92;-19.038,71;34.725,83;0,00;0,00
TRF1;LUISA FERREIRA LIMA ALMEIDA;09/2020;32.004,65;0,00;2.059,70;12.914,16;46.978,51;-5.497,99;-8.372,22;-412,55;-5.625,49;-19.908,25;27.070,26;0,00;0,00
TRF1;LUISA GEOFFROY VEIGA RAMOS;09/2020;7.084,63;0,00;0,00;0,00;7.084,63;-142,62;-1.039,69;0,00;0,00;-1.182,31;5.902,32;0,00;0,00
TRF1;LUIZ AIRTON DE CARVALHO;09/2020;33.689,11;1.773,11;430,00;0,00;35.892,22;-5.121,81;-6.950,66;-3.038,48;0,00;-15.110,95;20.781,27;0,00;0,00
TRF1;LUIZ ANTONIO RIBEIRO DA CRUZ;09/2020;32.004,65;848,66;910,08;10.668,22;44.431,61;-5.339,19;-8.363,75;-8.388,24;-4.228,21;-26.319,39;18.112,22;0,00;0,00
TRF1;LUIZ CLAUDIO LIMA VIANA;09/2020;32.004,65;0,00;1.629,70;9,46;33.643,81;-5.177,94;-6.351,57;-989,07;0,00;-12.518,58;21.125,23;0,00;0,00
TRF1;LUIZ EDUARDO STANCINI CARDOSO;09/2020;32.004,65;0,00;910,08;12.539,84;45.454,57;-5.444,65;-8.439,02;-1.231,59;-5.251,17;-20.366,43;25.088,14;0,00;0,00
TRF1;LUIZ GONZAGA BARBOSA MOREIRA;09/2020;35.462,22;0,00;0,00;0,00;35.462,22;-5.121,81;-6.898,52;-1.454,33;0,00;-13.474,66;21.987,56;0,00;0,00
TRF1;LUIZ REGIS BOMFIM FILHO;09/2020;32.004,65;0,00;910,08;13.288,49;46.203,22;-713,08;-9.086,12;-3.376,97;-5.999,82;-19.175,99;27.027,23;0,00;0,00
TRF1;LUIZ SALOMAO AMARAL VIANA;09/2020;33.689,11;0,00;1.555,08;11.229,70;46.473,89;-5.497,99;-8.372,22;-710,17;-5.625,49;-20.205,87;26.268,02;0,00;0,00
TRF1;LUZIA FARIAS DA SILVA MENDONCA;09/2020;33.689,11;0,00;1.629,70;22.833,73;58.152,54;-713,08;-11.279,99;-3.540,90;-5.999,82;-21.533,79;36.618,75;0,00;0,00
TRF1;MAGNOLIA SILVA DA GAMA E SOUZA;09/2020;33.689,11;0,00;910,08;11.229,60;45.828,79;-5.497,99;-8.320,08;-691,82;-5.625,39;-20.135,28;25.693,51;0,00;0,00
TRF1;MAISA COSTA GIUDICE;09/2020;33.689,11;0,00;0,00;0,00;33.689,11;-4.784,92;0,00;-404,27;0,00;-5.189,19;28.499,92;0,00;0,00
TRF1;MAIZIA SEAL CARVALHO;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.424,36;-1.493,37;-5.625,49;-21.041,21;24.787,68;0,00;0,00
TRF1;MANOEL JOSE FERREIRA NUNES;09/2020;33.689,11;0,00;0,00;0,00;33.689,11;-4.784,92;0,00;-1.659,92;0,00;-6.444,84;27.244,27;0,00;0,00
TRF1;MANOEL PEDRO MARTINS DE CASTRO FILHO;09/2020;32.004,65;0,00;910,08;6.213,77;39.128,50;-5.327,30;-8.175,70;-600,01;0,00;-14.103,01;25.025,49;0,00;0,00
TRF1;MANOELA DE ARAUJO ROCHA;09/2020;32.004,65;0,00;910,08;11.454,30;44.369,03;-5.327,30;-8.419,16;-3.794,52;-4.165,63;-21.706,61;22.662,42;0,00;0,00
TRF1;MARA ELISA ANDRADE;09/2020;33.689,11;0,00;1.629,70;9.732,41;45.051,22;-5.497,99;-8.372,22;-443,50;-4.128,20;-18.441,91;26.609,31;0,00;0,00
TRF1;MARA LINA SILVA DO CARMO;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.372,22;-2.465,90;-5.625,49;-21.961,60;23.867,29;0,00;0,00
TRF1;MARCEL PERES DE OLIVEIRA;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-10.434,61;-1.224,49;-5.625,49;-22.782,58;23.046,31;0,00;0,00
TRF1;MARCEL QUEIROZ LINHARES;09/2020;33.689,11;0,00;910,08;16.095,90;50.695,09;-5.497,99;-10.440,22;-902,88;0,00;-16.841,09;33.854,00;0,00;0,00
TRF1;MARCELO AGUIAR MACHADO;09/2020;32.004,65;0,00;910,08;33.503,52;66.418,25;-5.263,29;-9.495,95;-948,15;0,00;-15.707,39;50.710,86;0,00;0,00
TRF1;MARCELO ANTONIO CESCA;09/2020;11.536,77;0,00;0,00;0,00;11.536,77;-809,96;-2.080,51;-4.694,78;0,00;-7.585,25;3.951,52;0,00;0,00
TRF1;MARCELO CARVALHO CAVALCANTE DE OLIVEIRA;09/2020;33.689,11;0,00;1.125,08;11.229,70;46.043,89;-5.497,99;-7.691,90;-2.859,96;-5.625,49;-21.675,34;24.368,55;0,00;0,00
TRF1;MARCELO DOLZANY DA COSTA;09/2020;33.689,11;0,00;910,08;0,00;34.599,19;-5.497,99;-6.726,79;-919,83;0,00;-13.144,61;21.454,58;0,00;0,00
TRF1;MARCELO EDUARDO ROSSITTO BASSETTO;09/2020;33.689,11;0,00;910,08;10.855,38;45.454,57;-5.497,99;-8.372,22;-2.478,59;-5.251,17;-21.599,97;23.854,60;0,00;0,00
TRF1;MARCELO ELIAS VIEIRA;09/2020;33.689,11;0,00;910,08;0,00;34.599,19;-713,08;-7.705,91;-2.539,67;0,00;-10.958,66;23.640,53;0,00;0,00
TRF1;MARCELO GARCIA VIEIRA;09/2020;32.004,65;0,00;910,08;21.486,17;54.400,90;-5.199,28;-10.466,62;-983,95;-3.529,28;-20.179,13;34.221,77;0,00;0,00
TRF1;MARCELO GENTIL MONTEIRO;09/2020;32.004,65;0,00;910,08;7.842,10;40.756,83;-713,10;-9.001,10;-3.542,10;-553,43;-13.809,73;26.947,10;0,00;0,00
TRF1;MARCELO HONORATO;09/2020;33.689,11;0,00;1.770,08;11.229,70;46.688,89;-5.497,99;-8.267,95;-235,82;-5.625,49;-19.627,25;27.061,64;0,00;0,00
TRF1;MARCELO MEIRELES LOBAO;09/2020;33.689,11;0,00;910,08;22.459,30;57.058,49;-5.497,99;-10.095,56;-3.827,23;-5.625,39;-25.046,17;32.012,32;0,00;0,00
TRF1;MARCELO MOTTA DE OLIVEIRA;09/2020;33.689,11;0,00;910,08;9.870,31;44.469,50;-5.834,88;-8.227,43;-1.415,07;-4.049,39;-19.526,77;24.942,73;0,00;0,00
TRF1;MARCELO PIRES SOARES;09/2020;33.689,11;0,00;910,08;11.604,03;46.203,22;-713,08;-9.095,34;-2.620,03;-5.999,82;-18.428,27;27.774,95;0,00;0,00
TRF1;MARCELO REBELLO PINHEIRO;09/2020;33.689,11;0,00;910,08;23.582,30;58.181,49;-713,10;-8.991,06;-3.246,99;-3.005,15;-15.956,30;42.225,19;0,00;0,00
TRF1;MARCELO STIVAL;09/2020;33.689,11;0,00;1.629,70;11.604,03;46.922,84;-713,08;-8.912,20;-4.167,83;-5.999,82;-19.792,93;27.129,91;0,00;0,00
TRF1;MARCELO VELASCO NASCIMENTO ALBERNAZ;09/2020;33.689,11;0,00;910,08;8.983,68;43.582,87;-5.497,99;-8.267,95;-1.583,08;-3.379,47;-18.728,49;24.854,38;0,00;0,00
TRF1;MARCIA GUIMARAES PINHEIRO;09/2020;33.689,11;0,00;0,00;0,00;33.689,11;-4.784,92;-6.555,70;0,00;0,00;-11.340,62;22.348,49;0,00;0,00
TRF1;MARCIO ANDRE LOPES CAVALCANTE;09/2020;33.689,11;0,00;910,08;0,00;34.599,19;-5.497,99;-6.883,20;-1.224,27;0,00;-13.605,46;20.993,73;0,00;0,00
TRF1;MARCIO BARBOSA MAIA;09/2020;33.689,11;0,00;910,08;41.175,48;75.774,67;-713,10;-9.095,33;-13.434,17;-5.625,39;-28.867,99;46.906,68;0,00;0,00
TRF1;MARCIO BRAGA MAGALHAES;09/2020;33.689,11;0,00;910,08;18.716,17;53.315,36;-5.497,99;-8.320,08;-4.535,49;-1.882,26;-20.235,82;33.079,54;0,00;0,00
TRF1;MARCIO DE FRANCA MOREIRA;09/2020;32.004,65;0,00;910,08;22.384,54;55.299,27;-5.327,30;-10.535,69;-229,54;-4.427,65;-20.520,18;34.779,09;0,00;0,00
TRF1;MARCIO FLAVIO MAFRA LEAL;09/2020;33.689,11;0,00;1.629,70;2.245,92;37.564,73;-713,10;-7.244,97;-7.169,86;0,00;-15.127,93;22.436,80;0,00;0,00
TRF1;MARCIO JOSE DE AGUIAR BARBOSA;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-6.562,79;-8.131,54;-1.429,45;-5.625,49;-21.749,27;24.079,62;0,00;0,00
TRF1;MARCIO LUIZ COELHO DE FREITAS;09/2020;33.689,11;0,00;910,08;0,00;34.599,19;-713,10;-7.155,95;-4.856,26;0,00;-12.725,31;21.873,88;0,00;0,00
TRF1;MARCIO SA ARAUJO;09/2020;33.689,11;0,00;910,08;22.833,73;57.432,92;-713,08;-11.314,15;-5.957,71;-5.999,82;-23.984,76;33.448,16;0,00;0,00
TRF1;MARCO ANTONIO BARROS GUIMARAES;09/2020;32.004,65;5.177,94;910,08;10.668,22;48.760,89;-5.177,94;-9.787,77;-1.466,30;0,00;-16.432,01;32.328,88;0,00;0,00
TRF1;MARCO FRATTEZI GONCALVES;09/2020;33.689,11;0,00;910,08;10.481,05;45.080,24;-713,08;-9.740,21;-275,05;-4.876,84;-15.605,18;29.475,06;0,00;0,00
TRF1;MARCOS AUGUSTO DE SOUSA;09/2020;35.462,22;5.834,88;910,08;11.820,74;54.027,92;-5.834,88;-9.884,16;-11.759,10;-7.989,64;-35.467,78;18.560,14;0,00;0,00
TRF1;MARCOS JOSE BRITO RIBEIRO;09/2020;32.004,65;0,00;1.629,70;112,30;33.746,65;-734,44;-7.100,58;-3.262,58;0,00;-11.097,60;22.649,05;0,00;0,00
TRF1;MARCOS PADULA COELHO;09/2020;32.004,65;0,00;1.629,70;12.071,94;45.706,29;-713,08;-9.109,78;-3.582,39;-4.783,27;-18.188,52;27.517,77;0,00;0,00
TRF1;MARCOS SILVA ROSA;09/2020;33.689,11;0,00;910,08;10.106,64;44.705,83;-5.497,99;-6.950,20;-6.045,37;-4.502,43;-22.995,99;21.709,84;0,00;0,00
TRF1;MARCOS VINICIUS LIPIENSKI;09/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-713,08;-9.095,34;-2.993,26;-5.625,49;-18.427,17;27.401,72;0,00;0,00
TRF1;MARCUS VINICIUS REIS BASTOS;09/2020;33.689,11;0,00;910,08;24.705,26;59.304,45;-5.497,99;-8.320,08;-13.818,21;-4.128,11;-31.764,39;27.540,06;0,00;0,00
TRF1;MARIA CANDIDA CARVALHO MONTEIRO DE ALMEIDA;09/2020;33.689,11;0,00;910,08;5.614,85;40.214,04;-713,10;-8.991,06;-8.376,73;-10,64;-18.091,53;22.122,51;0,00;0,00
TRF1;MARIA CAROLINA VALENTE DO CARMO;09/2020;33.689,11;0,00;2.349,32;29.571,55;65.609,98;-5.497,99;-10.028,46;-820,00;0,00;-16.346,45;49.263,53;0,00;0,00
TRF1;MARIA CECILIA DE MARCO ROCHA;09/2020;33.689,11;0,00;1.629,70;10.638,67;45.957,48;-5.497,99;-8.267,95;-1.109,50;-5.034,46;-19.909,90;26.047,58;0,00;0,00
