Tribunal;Magistrado;Mês/Ano Ref.;Subsídio;Direitos Pessoais ;Indenizações ;Direitos Eventuais ;Total de Rendimentos ;Previdência Pública ;Imposto de Renda;Descontos Diversos ;Retenção por Teto Constitucional ;Total de Descontos ;Rendimento Líquido ;Remuneração do órgão de origem ;Diárias 
TRF1;GRIGORIO CARLOS DOS SANTOS;12/2020;33.689,11;5.834,88;910,08;89.284,68;129.718,75;-8.253,28;-24.122,20;-9.042,40;-2.227,03;-43.644,91;86.073,84;0,00;0,00
TRF1;GUILHERME BACELAR PATRICIO DE ASSIS;12/2020;33.689,11;0,00;1.629,70;12.953,56;48.272,37;-713,08;-9.091,01;-3.535,08;-7.349,35;-20.688,52;27.583,85;0,00;0,00
TRF1;GUILHERME FABIANO JULIEN DE REZENDE;12/2020;33.689,11;0,00;1.770,08;153.639,27;189.098,46;-9.954,74;-38.932,90;0,00;-4.502,52;-53.390,16;135.708,30;0,00;0,00
TRF1;GUILHERME JORGE DE RESENDE BRITO;12/2020;33.689,11;0,00;910,08;9.358,00;43.957,19;-713,08;-8.863,93;-3.422,30;-3.753,79;-16.753,10;27.204,09;0,00;0,00
TRF1;GUILHERME MENDONCA DOEHLER;12/2020;33.689,11;0,00;910,08;154.899,97;189.499,16;-10.036,04;-40.183,68;-1.972,69;-1.133,61;-53.326,02;136.173,14;0,00;0,00
TRF1;GUILHERME MICHELAZZO BUENO;12/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-713,08;-9.740,21;-275,00;-5.625,49;-16.353,78;29.475,11;0,00;0,00
TRF1;GUILHERME OSORIO PIMENTEL;12/2020;32.004,65;0,00;910,08;12.109,37;45.024,10;-713,08;-8.995,84;-4.554,61;-4.820,70;-19.084,23;25.939,87;0,00;0,00
TRF1;GUSTAVO ANDRE OLIVEIRA DOS SANTOS;12/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.320,08;-2.394,84;-5.625,49;-21.838,40;23.990,49;0,00;0,00
TRF1;GUSTAVO BAIAO VILELA;12/2020;32.004,65;0,00;1.629,70;7.823,36;41.457,71;-5.177,94;-8.512,37;-584,08;-534,69;-14.809,08;26.648,63;0,00;0,00
TRF1;GUSTAVO FIGUEIREDO MELILO CAROLINO;12/2020;32.004,65;0,00;1.629,70;11.061,26;44.695,61;-713,08;-9.081,99;-5.023,39;-3.772,59;-18.591,05;26.104,56;0,00;0,00
TRF1;GUSTAVO MOREIRA MAZZILLI;12/2020;33.689,11;0,00;910,08;10.481,05;45.080,24;-713,08;-8.684,00;-5.049,34;-4.876,84;-19.323,26;25.756,98;0,00;0,00
TRF1;GUSTAVO SORATTO ULIANO;12/2020;33.689,11;0,00;910,08;4.866,20;39.465,39;-5.497,99;-8.169,26;-13.352,81;0,00;-27.020,06;12.445,33;0,00;0,00
TRF1;HALLISSON COSTA GLORIA;12/2020;32.004,65;0,00;910,08;8.890,18;41.804,91;-5.177,94;-8.408,09;-1.240,48;-1.601,51;-16.428,02;25.376,89;0,00;0,00
TRF1;HAMILTON DE SA DANTAS;12/2020;33.689,11;1.773,11;0,00;179.456,33;214.918,55;-8.396,22;-46.621,73;-12.745,92;0,00;-67.763,87;147.154,68;0,00;0,00
TRF1;HEITOR MOURA GOMES;12/2020;33.689,11;0,00;1.125,08;6.737,82;41.552,01;-713,08;-9.740,21;-3.325,84;-1.133,61;-14.912,74;26.639,27;0,00;0,00
TRF1;HELDER GIRAO BARRETO;12/2020;33.689,11;5.497,99;910,08;126.368,92;166.466,10;-8.035,49;-24.230,71;-12.269,91;-5.625,49;-50.161,60;116.304,50;0,00;0,00
TRF1;HELENO BICALHO;12/2020;33.689,11;0,00;910,08;9.732,41;44.331,60;-5.497,99;-8.267,94;-5.874,25;-4.128,20;-23.768,38;20.563,22;0,00;0,00
TRF1;HENRIQUE GOUVEIA DA CUNHA;12/2020;33.689,11;0,00;910,08;53.609,80;88.208,99;-5.862,96;-9.336,59;-1.083,08;-26.020,22;-42.302,85;45.906,14;0,00;0,00
TRF1;HENRIQUE JORGE DANTAS DA CRUZ;12/2020;32.004,65;0,00;910,08;9.900,86;42.815,59;-713,08;-9.134,71;-2.709,88;-2.612,19;-15.169,86;27.645,73;0,00;0,00
TRF1;HERCULES FAJOSES;12/2020;35.462,22;0,00;910,08;7.289,45;43.661,75;-713,08;-9.001,75;-15.516,33;-3.458,35;-28.689,51;14.972,24;0,00;0,00
TRF1;HERCULES QUASIMODO DA MOTA DIAS;12/2020;35.462,22;0,00;0,00;222.567,37;258.029,59;-5.121,81;0,00;-2.972,21;0,00;-8.094,02;249.935,57;0,00;0,00
TRF1;HERLEY DA LUZ BRASIL;12/2020;33.689,11;0,00;1.629,70;11.229,70;46.548,51;-5.497,99;-8.320,08;-5.003,93;-5.625,49;-24.447,49;22.101,02;0,00;0,00
TRF1;HERMES GOMES FILHO;12/2020;33.689,11;5.834,88;910,08;13.198,35;53.632,42;-5.862,96;-9.936,30;-3.131,26;-7.349,35;-26.279,87;27.352,55;0,00;0,00
TRF1;HILTON QUEIROZ;12/2020;35.462,22;0,00;0,00;174.113,26;209.575,48;-5.617,29;-45.819,12;-2.695,09;0,00;-54.131,50;155.443,98;0,00;0,00
TRF1;HILTON SAVIO GONCALO PIRES;12/2020;33.689,11;0,00;910,08;0,00;34.599,19;-5.497,99;-6.883,20;-954,27;0,00;-13.335,46;21.263,73;0,00;0,00
TRF1;HIND GHASSAN KAYATH;12/2020;33.689,11;5.497,99;910,08;154.463,90;194.561,08;-5.497,99;-16.196,66;-1.422,64;-4.511,21;-27.628,50;166.932,58;0,00;0,00
TRF1;HIRAM ARMENIO XAVIER PEREIRA;12/2020;32.004,65;0,00;910,08;10.481,06;43.395,79;-713,08;-9.134,71;-3.169,31;-3.192,39;-16.209,49;27.186,30;0,00;0,00
TRF1;HUGO LEONARDO ABAS FRAZAO;12/2020;33.689,11;0,00;910,08;0,00;34.599,19;-713,08;-7.554,18;-3.042,53;0,00;-11.309,79;23.289,40;0,00;0,00
TRF1;HUGO OTAVIO TAVARES VILELA;12/2020;32.004,65;0,00;1.629,70;11.734,82;45.369,17;-5.380,64;-8.404,48;-275,05;-4.446,15;-18.506,32;26.862,85;0,00;0,00
TRF1;I'TALO FIORAVANTI SABO MENDES;12/2020;35.462,22;5.834,88;910,08;120.716,65;162.923,83;-8.914,23;-32.943,69;-2.343,57;-8.962,18;-53.163,67;109.760,16;0,00;0,00
TRF1;IDUNA EVANGELINA WEINERT;12/2020;33.689,11;0,00;0,00;197.628,43;231.317,54;-4.784,92;-54.035,57;-2.094,21;0,00;-60.914,70;170.402,84;0,00;0,00
